,province,city,district,county,street,community,show_address,cnt_inc_uncertain,cnt_inc_certain,cnt_inc_die,cnt_inc_recure,cnt_sum_uncertain,cnt_sum_certain,cnt_sum_die,cnt_sum_recure,full_address,lng,lat,source,distance
53,天津市,天津市,西青区,,,,杨柳青镇,-1,-1,-1,-1,-1,1,-1,-1,天津市西青区杨柳青镇,117.014046,39.128487,"[{'name': '天津市卫生健康委员会', 'url': ''}]",-1
54,天津市,天津市,津南区,,,,双港镇,-1,-1,-1,-1,-1,1,-1,-1,天津市津南区双港镇,117.318703,39.04274,"[{'name': '天津市卫生健康委员会', 'url': ''}]",-1
55,安徽省,滁州市,琅琊区,,清流街道,泰鑫现代城东区,泰鑫现代城东区,-1,-1,-1,-1,-1,1,-1,-1,安徽省滁州市琅琊区清流街道泰鑫现代城东区,118.317131,32.29985,"[{'name': '滁州发布', 'url': ''}]",-1
56,安徽省,滁州市,凤阳县,凤阳县,,,官塘镇,-1,-1,-1,-1,-1,5,-1,-1,安徽省滁州市凤阳县官塘镇,117.219681,32.68367,"[{'name': '滁州发布', 'url': ''}]",-1
57,安徽省,滁州市,天长市,,天长街道,,天长街道,-1,-1,-1,-1,-1,1,-1,-1,安徽省滁州市天长市天长街道,119.012642,32.679459,"[{'name': '滁州发布', 'url': ''}]",-1
58,安徽省,滁州市,天长市,,,,汊涧镇,-1,-1,-1,-1,-1,1,-1,-1,安徽省滁州市天长市汊涧镇,118.775574,32.666061,"[{'name': '滁州发布', 'url': ''}]",-1
59,安徽省,滁州市,明光市,,,,古沛镇,-1,-1,-1,-1,-1,1,-1,-1,安徽省滁州市明光市古沛镇,118.004349,32.990391,"[{'name': '滁州发布', 'url': ''}]",-1
60,安徽省,阜阳市,临泉县,临泉县,,,土陂乡,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市临泉县土陂乡,115.479111,32.77541,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
61,安徽省,阜阳市,临泉县,临泉县,,,城关镇,-1,-1,-1,-1,-1,5,-1,-1,安徽省阜阳市临泉县城关镇,115.25378,33.06536,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
62,安徽省,阜阳市,临泉县,临泉县,,,宋集镇,-1,-1,-1,-1,-1,2,-1,-1,安徽省阜阳市临泉县宋集镇,115.278687,32.823689,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
63,安徽省,阜阳市,临泉县,临泉县,,,滑集镇,-1,-1,-1,-1,-1,2,-1,-1,安徽省阜阳市临泉县滑集镇,115.390228,32.741489,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
64,安徽省,阜阳市,临泉县,临泉县,,,长官镇,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市临泉县长官镇,115.289017,32.941391,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
65,安徽省,阜阳市,临泉县,临泉县,,,高塘镇,-1,-1,-1,-1,-1,2,-1,-1,安徽省阜阳市临泉县高塘镇,115.405052,32.922142,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
66,安徽省,阜阳市,临泉县,临泉县,,,鲖城镇,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市临泉县鲖城镇,114.985046,33.079014,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
67,安徽省,阜阳市,临泉县,临泉县,,,土坡乡,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市临泉县土坡乡,115.47419,32.77869,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
