,Country,Province,City,AllOrToday,confirm,suspect,dead,heal
470,中国,北京,丰台,All,16,0,0,0
471,中国,北京,丰台,Today,0,0,0,0
472,中国,北京,通州,All,13,0,0,0
473,中国,北京,通州,Today,0,0,0,0
474,中国,北京,昌平,All,12,0,0,0
475,中国,北京,昌平,Today,0,0,0,0
476,中国,北京,外地来京,All,11,0,0,2
477,中国,北京,外地来京,Today,0,0,0,0
478,中国,北京,顺义,All,6,0,0,0
479,中国,北京,顺义,Today,0,0,0,0
480,中国,北京,石景山,All,5,0,0,0
481,中国,北京,石景山,Today,0,0,0,0
482,中国,北京,东城,All,3,0,0,0
483,中国,北京,东城,Today,0,0,0,0
484,中国,北京,门头沟,All,2,0,0,0
485,中国,北京,门头沟,Today,0,0,0,0
486,中国,北京,房山,All,2,0,0,0
487,中国,北京,房山,Today,0,0,0,0
488,中国,北京,怀柔,All,1,0,0,0
489,中国,北京,怀柔,Today,0,0,0,0
490,中国,北京,地区待确认,All,0,0,1,5
491,中国,北京,地区待确认,Today,0,0,0,0
492,中国,福建,,All,179,0,0,0
493,中国,福建,,Today,20,0,0,0
494,中国,福建,福州,All,47,0,0,0
495,中国,福建,福州,Today,3,0,0,0
496,中国,福建,莆田,All,34,0,0,0
497,中国,福建,莆田,Today,7,0,0,0
498,中国,福建,泉州,All,31,0,0,0
499,中国,福建,泉州,Today,2,0,0,0
500,中国,福建,厦门,All,19,0,0,0
501,中国,福建,厦门,Today,1,0,0,0
502,中国,福建,漳州,All,13,0,0,0
503,中国,福建,漳州,Today,1,0,0,0
504,中国,福建,宁德,All,12,0,0,0
505,中国,福建,宁德,Today,3,0,0,0
506,中国,福建,三明,All,11,0,0,0
507,中国,福建,三明,Today,0,0,0,0
508,中国,福建,南平,All,11,0,0,0
509,中国,福建,南平,Today,3,0,0,0
510,中国,福建,龙岩,All,1,0,0,0
511,中国,福建,龙岩,Today,0,0,0,0
512,中国,陕西,,All,128,0,0,0
513,中国,陕西,,Today,12,0,0,0
514,中国,陕西,西安,All,55,0,0,0
515,中国,陕西,西安,Today,8,0,0,0
516,中国,陕西,安康,All,17,0,0,0
517,中国,陕西,安康,Today,1,0,0,0
518,中国,陕西,汉中,All,15,0,0,0
519,中国,陕西,汉中,Today,0,0,0,0
520,中国,陕西,咸阳,All,9,0,0,0
521,中国,陕西,咸阳,Today,0,0,0,0
522,中国,陕西,宝鸡,All,8,0,0,0
523,中国,陕西,宝鸡,Today,1,0,0,0
524,中国,陕西,铜川,All,7,0,0,0
525,中国,陕西,铜川,Today,1,0,0,0
526,中国,陕西,延安,All,7,0,0,0
527,中国,陕西,延安,Today,0,0,0,0
528,中国,陕西,渭南,All,6,0,0,0
529,中国,陕西,渭南,Today,1,0,0,0
530,中国,陕西,商洛,All,2,0,0,0
531,中国,陕西,商洛,Today,0,0,0,0
532,中国,陕西,榆林,All,1,0,0,0
533,中国,陕西,榆林,Today,0,0,0,0
534,中国,陕西,韩城,All,1,0,0,0
535,中国,陕西,韩城,Today,0,0,0,0
536,中国,广西,,All,127,0,0,3
537,中国,广西,,Today,16,0,0,1
538,中国,广西,北海,All,26,0,0,0
539,中国,广西,北海,Today,3,0,0,0
540,中国,广西,桂林,All,24,0,0,0
541,中国,广西,桂林,Today,1,0,0,0
542,中国,广西,南宁,All,22,0,0,0
543,中国,广西,南宁,Today,6,0,0,0
544,中国,广西,柳州,All,14,0,0,0
545,中国,广西,柳州,Today,2,0,0,0
546,中国,广西,防城港,All,9,0,0,1
547,中国,广西,防城港,Today,1,0,0,0
548,中国,广西,玉林,All,8,0,0,0
549,中国,广西,玉林,Today,1,0,0,0
550,中国,广西,河池,All,6,0,0,0
551,中国,广西,河池,Today,0,0,0,0
552,中国,广西,梧州,All,5,0,0,2
553,中国,广西,梧州,Today,0,0,0,1
554,中国,广西,贵港,All,5,0,0,0
555,中国,广西,贵港,Today,1,0,0,0
556,中国,广西,贺州,All,4,0,0,0
557,中国,广西,贺州,Today,1,0,0,0
558,中国,广西,百色,All,2,0,0,0
559,中国,广西,百色,Today,0,0,0,0
560,中国,广西,钦州,All,2,0,0,0
561,中国,广西,钦州,Today,0,0,0,0
562,中国,黑龙江,,All,118,0,2,2
563,中国,黑龙江,,Today,23,0,0,0
564,中国,黑龙江,哈尔滨,All,45,0,0,2
565,中国,黑龙江,哈尔滨,Today,11,0,0,0
566,中国,黑龙江,绥化,All,16,0,2,0
567,中国,黑龙江,绥化,Today,2,0,0,0
568,中国,黑龙江,大庆,All,11,0,0,0
569,中国,黑龙江,大庆,Today,3,0,0,0
