province,city,district,county,street,community,show_address,cnt_inc_uncertain,cnt_inc_certain,cnt_inc_die,cnt_inc_recure,cnt_sum_uncertain,cnt_sum_certain,cnt_sum_die,cnt_sum_recure,full_address,article_source,lng,lat,source,distance,date_saved
云南省,昆明市,东川区,,,黄包谷地小组,黄包谷地小组,-1,-1,-1,-1,-1,-1,-1,-1,云南省昆明市东川区乌龙镇黄包谷地小组,"[{'title': '病例增速放缓！截至2月7日10时 昆明累计确诊40例 9个小区疫点采取隔离管理措施', 'url': 'https://mp.weixin.qq.com/s/VV4sxV_uByYsWVzbjjLzdQ'}]",103.079323,25.975559,"[{'name': '掌上春城', 'url': ''}, {'name': '昆明发布', 'url': ''}]",-1,02-13
云南省,昆明市,五华区,,红云街道,江东耀龙康城8栋3单元,江东耀龙康城8栋3单元,-1,-1,-1,-1,-1,-1,-1,-1,云南省昆明市五华区红云街道江东耀龙康城8栋3单元,"[{'title': '病例增速放缓！截至2月7日10时 昆明累计确诊40例 9个小区疫点采取隔离管理措施', 'url': 'https://mp.weixin.qq.com/s/VV4sxV_uByYsWVzbjjLzdQ'}]",102.730247,25.098301,"[{'name': '掌上春城', 'url': ''}, {'name': '昆明发布', 'url': ''}]",-1,02-13
云南省,昆明市,五华区,,丰宁街道,春晖小区颐达园3栋,春晖小区颐达园3栋,-1,-1,-1,-1,-1,-1,-1,-1,云南省昆明市五华区丰宁街道春晖小区颐达园3栋,"[{'title': '病例增速放缓！截至2月7日10时 昆明累计确诊40例 9个小区疫点采取隔离管理措施', 'url': 'https://mp.weixin.qq.com/s/VV4sxV_uByYsWVzbjjLzdQ'}]",102.676552,25.050993,"[{'name': '掌上春城', 'url': ''}, {'name': '昆明发布', 'url': ''}]",-1,02-13
云南省,昆明市,寻甸县,寻甸县,,塘子街道办事处小瓦匠村,塘子街道办事处小瓦匠村,-1,-1,-1,-1,-1,-1,-1,-1,云南省昆明市寻甸县塘子街道办事处小瓦匠村,"[{'title': '病例增速放缓！截至2月7日10时 昆明累计确诊40例 9个小区疫点采取隔离管理措施', 'url': 'https://mp.weixin.qq.com/s/VV4sxV_uByYsWVzbjjLzdQ'}]",103.28363,25.476999,"[{'name': '掌上春城', 'url': ''}, {'name': '昆明发布', 'url': ''}]",-1,02-13
云南省,昆明市,西山区,,永昌街道,绿地大城天地4B商业22-5栋,绿地大城天地4B商业22-5栋,-1,-1,-1,-1,-1,-1,-1,-1,云南省昆明市西山区永昌街道绿地大城天地4B商业22-5栋,"[{'title': '病例增速放缓！截至2月7日10时 昆明累计确诊40例 9个小区疫点采取隔离管理措施', 'url': 'https://mp.weixin.qq.com/s/VV4sxV_uByYsWVzbjjLzdQ'}]",102.701859,25.013399,"[{'name': '掌上春城', 'url': ''}, {'name': '昆明发布', 'url': ''}]",-1,02-13
云南省,昆明市,安宁市,,金方街道,恒大金碧天下博雅苑25栋1单元,恒大金碧天下博雅苑25栋1单元,-1,-1,-1,-1,-1,-1,-1,-1,云南省昆明市安宁市金方街道恒大金碧天下博雅苑25栋1单元,"[{'title': '病例增速放缓！截至2月7日10时 昆明累计确诊40例 9个小区疫点采取隔离管理措施', 'url': 'https://mp.weixin.qq.com/s/VV4sxV_uByYsWVzbjjLzdQ'}]",102.562363,24.889889,"[{'name': '掌上春城', 'url': ''}, {'name': '昆明发布', 'url': ''}]",-1,02-13
云南省,德宏傣族景颇族自治州,瑞丽市,,,五缘玉城小区,五缘玉城小区,-1,-1,-1,-1,-1,1,-1,-1,云南省德宏傣族景颇族自治州瑞丽市五缘玉城小区,"[{'title': '新增确诊病例4例 1月30日12时至24时云南累计报告病例80例', 'url': 'https://mp.weixin.qq.com/s/sI06rmH67V3IpO-vT-kgIA'}]",97.84623,24.024139,[],-1,02-13
云南省,西双版纳傣族自治州,景洪市,,,景洪农场三分场,景洪农场三分场,-1,-1,-1,-1,-1,1,-1,-1,云南省西双版纳傣族自治州景洪市 景洪农场三分场,"[{'title': '新增确诊病例4例 1月30日12时至24时云南累计报告病例80例', 'url': 'https://mp.weixin.qq.com/s/sI06rmH67V3IpO-vT-kgIA'}]",100.753408,21.985604,[],-1,02-13
云南省,西双版纳傣族自治州,景洪市,,曼伞囡村,,曼伞囡村,-1,-1,-1,-1,-1,1,-1,-1,云南省西双版纳傣族自治州景洪市曼哈乡曼伞囡村,"[{'title': '新增确诊病例4例 1月30日12时至24时云南累计报告病例80例', 'url': 'https://mp.weixin.qq.com/s/sI06rmH67V3IpO-vT-kgIA'}]",101.047478,21.759501,[],-1,02-13
吉林省,吉林市,丰满区,,,中海紫御江城,中海紫御江城,-1,-1,-1,-1,-1,1,-1,-1,吉林省吉林市丰满区中海紫御江城,"[{'title': '吉林省卫生健康委员会关于新型冠状病毒感染的肺炎疫情情况通报', 'url': 'http://wsjkw.jl.gov.cn/xwzx/xwfb/202002/t20200203_6672971.html'}]",126.567146,43.83226,"[{'name': '吉林省卫生健康委员会', 'url': ''}]",-1,02-13
吉林省,吉林市,昌邑区,,,吉炭小区,吉炭小区,-1,-1,-1,-1,-1,1,-1,-1,吉林省吉林市昌邑区吉炭小区,"[{'title': '吉林省卫生健康委员会关于新型冠状病毒感染的肺炎疫情情况通报（2020年2月4日公布）', 'url': 'http://wsjkw.jl.gov.cn/xwzx/xwfb/202002/t20200204_6674927.html'}]",126.581863,43.87487,"[{'name': '吉林省卫生健康委员会', 'url': ''}]",-1,02-13
吉林省,长春市,净月区,,,万科城,万科城,-1,-1,-1,-1,-1,3,-1,-1,吉林省长春市净月区万科城,"[{'title': '吉林省卫生健康委员会关于新型冠状病毒感染的肺炎疫情情况通报', 'url': 'http://wsjkw.jl.gov.cn/xwzx/xwfb/202002/t20200202_6672614.html'}]",125.386841,43.799,"[{'name': '吉林省卫生健康委员会', 'url': ''}]",-1,02-13
